THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
716,88;121,85;16,3;780,75;184,02;11,16;89,28;;
716,89;121,84;16,3;780,76;184,03;11,14;89,3;0,88;12,93
716,87;121,86;16,3;780,77;184,03;11,16;89,3;0,88;12,93
716,88;121,85;16,28;780,78;184,04;11,15;89,31;0,91;12,93
716,9;121,87;16,27;780,78;184,04;11,17;89,29;0,58;12,93
716,94;121,88;16,26;780,77;184,04;11,16;89,24;1,35;26,59
716,92;121,88;16,28;780,76;184,04;11,15;89,25;0,79;15,91
716,9;121,89;16,29;780,76;184,04;11,14;89,26;0,39;21,14
716,9;121,9;16,28;780,76;184,03;11,15;89,25;1,25;53,71
716,93;121,89;16,27;780,79;184,05;11,14;89,26;1,79;62
716,94;121,87;16,25;780,8;184,03;11,14;89,26;1;21,55
716,93;121,88;16,29;780,77;184,04;11,15;89,25;2,28;61,18
716,91;121,88;16,25;780,76;184,05;11,14;89,26;2,4;60,99
716,91;121,89;16,29;780,72;184,03;11,15;89,22;1,41;17,98
716,89;121,88;16,26;780,74;184,03;11,15;89,25;1,83;73,07
716,9;121,87;16,24;780,76;184,04;11,14;89,27;0,76;39,36
716,88;121,88;16,28;780,73;184,03;11,14;89,25;2,34;53,51
716,87;121,87;16,26;780,74;184,03;11,18;89,27;0,95;45,13
716,9;121,89;16,25;780,75;184,03;11,14;89,25;2,14;46,95
716,89;121,89;16,26;780,75;184,03;11,14;89,25;1,27;32,16
716,89;121,89;16,28;780,75;184,04;11,17;89,25;3,06;117,82
716,92;121,88;16,27;780,78;184,02;11,19;89,25;2,52;23,8
716,91;121,88;16,29;780,79;184,03;11,19;89,27;1,56;77,45
716,89;121,89;16,3;780,81;184,01;11,19;89,28;0,77;69,25
716,94;121,87;16,29;780,8;184,01;11,19;89,25;2,15;77,59
716,93;121,88;16,3;780,84;184,01;11,17;89,28;2,4;48,15
716,94;121,89;16,31;780,85;184,02;11,21;89,28;1,97;69,13
716,95;121,88;16,27;780,83;184,02;11,21;89,26;0,79;45,94
716,93;121,9;16,3;780,84;184,02;11,2;89,28;1,14;109,53
716,94;121,92;16,3;780,84;184,04;11,21;89,27;0,94;54,85
716,91;121,89;16,3;780,84;184,02;11,21;89,29;1,53;133,53
716,92;121,9;16,32;780,82;184,02;11,21;89,26;0,36;85,43
716,93;121,9;16,31;780,84;184,02;11,21;89,27;2,36;18,54
716,91;121,9;16,31;780,8;184,02;11,17;89,25;1,08;62,04
716,92;121,91;16,29;780,83;184;11,21;89,25;2,78;38,09
716,91;121,92;16,28;780,84;183,99;11,19;89,25;3;82,44
716,91;121,91;16,3;780,78;184,01;11,17;89,24;0,41;65,16
716,9;121,92;16,31;780,84;184;11,18;89,27;3,84;156,4
716,92;121,92;16,32;780,85;183,98;11,2;89,24;1,32;83,8
716,91;121,93;16,31;780,84;183,98;11,21;89,24;1,56;57,63
716,93;121,91;16,31;780,87;183,99;11,21;89,27;1,75;20,25
716,95;121,93;16,31;780,87;184;11,2;89,25;3,05;168,64
716,93;121,96;16,32;780,92;183,99;11,18;89,27;1,06;51,6
716,93;121,94;16,32;780,89;183,99;11,19;89,25;2,51;53,97
716,93;121,93;16,3;780,88;184;11,19;89,27;1,59;90,96
716,95;121,94;16,31;780,86;184,01;11,2;89,24;1,09;31,78
716,96;121,94;16,3;780,88;183,99;11,18;89,23;1,64;44,25
716,95;121,93;16,29;780,89;184;11,19;89,26;0,75;89,91
716,95;121,92;16,29;780,88;183,99;11,19;89,26;1,65;62,99
716,94;121,94;16,31;780,87;184,01;11,21;89,26;0,48;49,66
716,92;121,93;16,31;780,88;184;11,2;89,27;0,37;50,92
716,9;121,95;16,32;780,87;184,01;11,21;89,27;1,17;82
716,93;121,93;16,3;780,87;184,02;11,21;89,27;0,55;66,53
716,92;121,94;16,33;780,86;184;11,2;89,26;1,05;43,06
716,92;121,94;16,32;780,89;184,01;11,21;89,28;0,86;41,02
716,91;121,95;16,32;780,85;184,01;11,19;89,26;2,27;52,27
716,9;121,95;16,32;780,85;184;11,19;89,25;1,21;29,55
716,92;121,94;16,31;780,88;184,01;11,19;89,27;0,86;23,18
716,94;121,93;16,31;780,86;184,01;11,19;89,25;1,46;43,91
716,92;121,95;16,31;780,9;183,99;11,21;89,27;1,52;36,61
716,93;121,93;16,3;780,89;184;11,2;89,27;0,62;32,62
716,93;121,97;16,33;780,9;184;11,2;89,25;0,36;19,82
716,95;121,95;16,32;780,9;184;11,2;89,25;0,51;33,42
716,92;121,96;16,32;780,9;183,99;11,2;89,26;1,17;54,11
716,95;121,96;16,31;780,88;184,02;11,2;89,25;0,98;8,61
716,94;121,97;16,32;780,91;184,01;11,2;89,26;1,49;31,5
716,92;121,97;16,31;780,91;184,02;11,2;89,28;1,58;24,19
716,93;121,97;16,31;780,89;184,02;11,19;89,26;1,01;48,94
716,93;121,95;16,28;780,89;184,02;11,2;89,27;0,45;75,9
716,93;121,95;16,29;780,88;184,03;11,19;89,28;1,08;140,5
716,91;121,94;16,3;780,9;184,01;11,19;89,29;0,83;73,99
716,9;121,96;16,32;780,87;184,02;11,19;89,27;2,2;20,1
716,9;121,96;16,3;780,86;184,03;11,2;89,27;0,55;28,27
716,9;121,97;16,31;780,88;184,02;11,19;89,28;2,75;47,93
716,9;121,96;16,33;780,83;184,03;11,15;89,26;1,32;35,24
716,92;121,95;16,3;780,87;184,04;11,18;89,28;2,3;123,83
716,93;121,96;16,3;780,86;184,02;11,18;89,25;0,29;62,49
716,92;121,96;16,31;780,88;184,04;11,18;89,28;1,04;39,91
716,94;121,96;16,32;780,88;184,02;11,18;89,25;0,8;26,17
716,97;121,93;16,29;780,88;184,04;11,19;89,27;1,6;134,08
716,95;121,94;16,32;780,91;184,02;11,19;89,28;0,78;48,88
716,96;121,94;16,28;780,89;184,04;11,2;89,28;0,92;42,68
716,96;121,95;16,31;780,91;184,02;11,18;89,27;1,13;65,47
716,99;121,94;16,29;780,88;184,04;11,19;89,24;0,84;63,82
716,95;121,96;16,32;780,89;184,02;11,17;89,26;1,31;26,75
716,95;121,97;16,32;780,9;184,03;11,18;89,26;1,24;26,59
716,94;121,97;16,29;780,9;184,03;11,19;89,27;1,15;89,12
716,95;121,96;16,31;780,88;184,03;11,19;89,25;1,25;79,44
716,96;121,96;16,3;780,9;184,01;11,18;89,25;1,47;84,75
716,96;121,97;16,32;780,9;184,02;11,16;89,25;1,69;83,3
716,95;121,97;16,31;780,87;184,03;11,18;89,24;1,96;84,54
716,96;121,96;16,33;780,87;184,01;11,19;89,23;2,23;37,64
716,98;121,98;16,3;780,9;184;11,19;89,21;2,37;52,81
716,96;121,96;16,32;780,88;183,97;11,17;89,2;1,79;79,32
716,99;121,96;16,29;780,91;183,98;11,16;89,21;2,68;76,11
717,01;121,97;16,29;780,87;183,96;11,12;89,15;2,21;89,58
716,98;121,99;16,29;780,91;183,94;11,14;89,17;3,79;72,85
717,05;121,97;16,27;780,94;183,93;11,12;89,15;2,33;41,22
717,04;122;16,26;780,94;183,91;11,12;89,12;1,71;44,67
717,06;122,01;16,24;780,94;183,9;11,11;89,09;1,81;83,92
717,07;122,02;16,27;780,91;183,9;11,1;89,06;1,95;308,57
717,06;122,01;16,26;780,92;183,86;11,11;89,06;4,89;351,1
717,08;122,03;16,23;780,92;183,81;11,09;88,98;6,51;311,73
717,11;121,99;16,25;780,91;183,73;11,1;88,93;12,42;272,66
717,09;121,99;16,24;780,86;183,56;11,1;88,79;18,23;138,97
717,17;121,98;16,22;780,8;183,39;11,11;88,57;17,46;83,08
717,21;121,96;16,21;780,81;183,22;11,11;88,45;13,79;159,84
717,23;121,99;16,19;780,79;183,11;11,11;88,33;9,7;244,99
717,24;122,01;16,17;780,79;183,03;11,12;88,25;7,71;297,46
717,3;122,01;16,18;780,71;182,98;11,13;88,11;6,69;234,42
717,36;122;16,13;780,7;182,93;11,12;88,03;4,81;245,38
717,33;122,02;16,11;780,68;182,9;11,1;88;5,16;85,59
717,41;121,96;16,11;780,63;182,85;11,11;87,92;6,95;196,26
717,46;121,87;16,1;780,56;182,83;11,11;87,88;9,37;360,09
717,56;121,75;16,07;780,44;182,84;11,12;87,81;9,87;386,28
717,61;121,62;16,08;780,37;182,87;11,08;87,83;8,98;525,43
717,63;121,53;16,09;780,29;182,92;11,06;87,87;13,83;1071,01
717,44;121,52;16,25;780,2;183,05;10,96;88,05;22,25;803,87
717,04;121,7;16,48;780,12;183,32;10,96;88,36;25,98;1268,02
717,02;121,61;16,01;780,24;183,57;10,97;88,67;34,22;784,5
717,24;121,85;16,14;780,44;183,92;10,94;88,74;44,53;744,51
717,77;122,55;17,21;780,72;184,3;10,79;88,41;41,99;2667,36
718,55;124;19,61;780,83;184,39;10,35;87,24;39,18;5774,54
719,9;126,41;23,12;781,18;184,51;10,19;85,42;43,44;6350,05
721,98;130,01;27,53;781,13;183,99;9,64;82,05;84,58;6018,7
724,81;134,56;32,39;781,1;183,14;9,2;77,89;141,87;6697,89
728,28;139,76;37,25;780,92;181,36;8,6;72,95;181,84;12218,42
732,03;145,35;42,19;780,04;179,67;9;67,7;227,55;15328,73
735,98;151,24;47,2;778,09;180,07;11,93;62,04;407,92;18566,69
739,41;157,33;52,47;777,91;182,99;16,14;58,83;578,93;20125,86
742,6;163,48;57,53;779,36;187,56;20,66;57,37;740,34;16440,54
745,63;169,78;62,05;781,19;193,36;26,2;55,73;818,21;12039,97
748,82;176,3;66,01;782,96;199,64;31,11;54,12;850,32;7033,69
751,98;183,21;69,57;785,58;206,18;36,47;52,46;910,71;3103,06
755,28;190,59;72,72;788,34;213,21;42;50,47;875,02;3690,79
758,49;198,34;75,87;790,2;219,81;46,43;48,3;883,04;4946,89
761,72;206,38;78,49;792,73;227,6;51,25;46,41;955,83;6781,1
765,04;214,64;80,6;795,33;235,74;55,66;44,55;962,87;8930,21
768,06;223,04;82,42;797,81;244,37;59,24;43,32;978,75;9627,84
770,99;231,61;83,53;800,35;253,57;62;42,52;1006,36;10087,5
773,8;240,18;83,76;802,85;263,27;63,98;42,05;1069,44;10386,98
776,09;248,82;83,71;805,67;274,06;65,02;43,15;1128,21;8807,6
778,05;257,28;82,81;808,51;285,05;65,57;44,67;1147,83;6451,38
779,68;265,4;81,28;811,35;296,31;65,39;47,01;1166,93;4493,44
781,11;273,2;78,82;814,69;307,54;64,61;50,09;1157,62;4497,36
781,9;280,58;75,89;817,86;318,44;63,44;53,68;1101,12;7131,03
782,54;287,69;72,74;820,86;328,56;62,43;56,97;1012,73;6685,03
783,16;294,71;69,64;823,22;337,85;61,25;59,46;930,27;8407,7
785,35;301,19;65,4;825,23;346,51;60,18;60,59;854,27;8404,45
785,86;307,9;62,6;826,81;354,39;58,95;62,06;784,89;7441,55
786,29;314,13;59,77;828,06;361,68;57,32;63,34;746,19;6651,02
786,32;319,89;56,87;829,38;368,79;56;65,17;680,7;5993,35
786,06;325,19;53,84;830,48;374,62;53,84;66,46;629,23;6019,68
785,68;329,9;50,79;831,37;380,38;51,51;68,09;605,55;5817,54
