THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
717,56;111,56;16,78;766,26;184,41;12,04;87,76;;
717,55;111,56;16,75;766,25;184,43;11,99;87,77;2,4;11,98
717,56;111,56;16,77;766,24;184,41;12;87,75;2,05;11,98
717,58;111,57;16,77;766,27;184,4;12,01;87,74;2,33;11,98
717,59;111,56;16,76;766,28;184,4;12,01;87,74;2,58;11,98
717,59;111,57;16,77;766,22;184,42;11,99;87,73;4,88;46,09
717,57;111,58;16,75;766,21;184,41;11,94;87,72;2,38;84,9
717,57;111,58;16,74;766,24;184,42;11,95;87,73;1,51;79,14
717,6;111,6;16,77;766,24;184,43;11,95;87,71;3,53;121,55
717,58;111,59;16,75;766,21;184,43;12,01;87,72;0,96;171,13
717,57;111,58;16,74;766,23;184,41;11,94;87,72;3,72;107,58
717,55;111,58;16,75;766,23;184,42;11,94;87,74;0,97;170,28
717,56;111,59;16,75;766,23;184,39;11,94;87,71;1,53;82,58
717,56;111,59;16,77;766,26;184,41;11,95;87,73;4,82;111,85
717,57;111,61;16,73;766,24;184,45;12,02;87,73;1,79;198,35
717,55;111,59;16,74;766,27;184,43;11,98;87,76;5,41;86,74
717,55;111,61;16,75;766,25;184,4;11,92;87,71;0,54;85,71
717,56;111,62;16,75;766,27;184,43;11,97;87,73;1,07;51,85
717,56;111,61;16,75;766,24;184,42;11,93;87,72;1,42;70,84
717,56;111,6;16,75;766,25;184,44;11,99;87,73;2,99;62,25
717,57;111,6;16,75;766,28;184,41;11,97;87,73;2,9;64,43
717,57;111,61;16,76;766,25;184,4;11,94;87,7;1,5;110,02
717,56;111,61;16,73;766,26;184,44;11,97;87,74;3,08;38,92
717,56;111,63;16,75;766,24;184,45;11,98;87,72;2,03;103,38
717,57;111,62;16,75;766,27;184,41;11,94;87,71;0,36;163,48
717,57;111,61;16,74;766,23;184,45;11,98;87,72;1;112,46
717,57;111,63;16,76;766,25;184,42;11,95;87,7;3,08;32,47
717,56;111,65;16,74;766,24;184,43;11,93;87,69;0,87;35,68
717,54;111,63;16,74;766,25;184,43;11,96;87,72;3,59;54,36
717,56;111,64;16,78;766,24;184,44;12;87,71;1,46;49,94
717,56;111,64;16,76;766,27;184,44;11,96;87,72;1,1;79,56
717,54;111,66;16,74;766,26;184,44;11,98;87,71;1,53;121,2
717,55;111,66;16,74;766,25;184,42;11,95;87,69;1,24;55,95
717,54;111,67;16,74;766,24;184,43;11,97;87,69;2,22;40,04
717,56;111,64;16,75;766,25;184,44;11,99;87,71;1,48;57,84
717,54;111,66;16,73;766,26;184,43;11,95;87,7;3,33;103,79
717,55;111,66;16,75;766,27;184,41;11,94;87,69;1,1;101,53
717,56;111,65;16,74;766,26;184,41;11,96;87,68;1,57;82,75
717,54;111,67;16,74;766,25;184,43;11,93;87,69;1,01;97,6
717,55;111,67;16,75;766,27;184,42;11,94;87,69;2,26;17,63
717,56;111,67;16,75;766,28;184,4;11,95;87,67;1,6;59,54
717,56;111,67;16,76;766,25;184,43;11,96;87,68;1,49;76,37
717,55;111,68;16,74;766,26;184,42;11,93;87,68;0,53;99,28
717,53;111,69;16,74;766,25;184,44;11,96;87,69;0,43;137,87
717,52;111,67;16,74;766,26;184,43;11,93;87,7;1,73;44,54
717,53;111,68;16,74;766,26;184,47;11,98;87,72;3,43;127,46
717,53;111,68;16,75;766,27;184,45;12;87,72;1,7;66,96
717,53;111,7;16,74;766,24;184,44;11,98;87,67;3,41;112,2
717,54;111,7;16,74;766,26;184,43;11,93;87,67;0,83;75,52
717,52;111,68;16,73;766,25;184,45;11,99;87,7;3,38;141,05
717,55;111,68;16,74;766,3;184,45;11,98;87,72;2,48;123,36
717,54;111,69;16,73;766,25;184,43;11,95;87,66;2,94;27,36
717,55;111,67;16,73;766,25;184,42;11,96;87,68;2,73;59,31
717,53;111,69;16,75;766,28;184,46;11,98;87,72;1,45;118,71
717,54;111,7;16,74;766,27;184,44;11,94;87,68;0,95;88,64
717,56;111,7;16,74;766,27;184,45;11,98;87,68;0,9;130,92
717,54;111,69;16,73;766,27;184,44;11,96;87,69;1,71;102,28
717,52;111,68;16,74;766,3;184,46;11,98;87,74;1;101,71
717,56;111,68;16,74;766,27;184,43;11,94;87,68;2,49;135,68
717,55;111,69;16,73;766,27;184,43;11,95;87,68;1,52;49,1
717,53;111,69;16,73;766,3;184,43;11,96;87,71;0,65;54,26
717,53;111,68;16,73;766,27;184,42;11,95;87,68;2,25;30,16
717,52;111,68;16,74;766,26;184,42;11,94;87,69;2,87;80,77
717,55;111,67;16,74;766,27;184,46;12;87,72;2,23;120,96
717,52;111,68;16,73;766,25;184,45;11,98;87,7;3,42;80,56
717,54;111,69;16,72;766,25;184,43;11,94;87,68;1,9;121,41
717,52;111,68;16,73;766,26;184,42;11,96;87,68;1,78;90,27
717,53;111,68;16,74;766,27;184,41;11,95;87,68;0,49;32,28
717,52;111,71;16,75;766,26;184,42;11,95;87,67;3,67;55,15
